Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_sub""))",Chrome 118.0.0.0,,,05-03-2024 12:43:23,05-03-2024 12:43:23,0.302s,PASSED
"verifyTextPresent(""Customer Detail Form"", false)",Chrome 118.0.0.0,,,05-03-2024 12:43:23,05-03-2024 12:43:23,0.268s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC06.png"")",Chrome 118.0.0.0,,,05-03-2024 12:43:23,05-03-2024 12:43:23,0.361s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,05-03-2024 12:43:23,05-03-2024 12:43:24,0.052s,PASSED
,,,,,,,
Test Cases/TC08,Chrome 118.0.0.0,,,05-03-2024 12:43:24,05-03-2024 12:43:27,3.438s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,05-03-2024 12:43:24,05-03-2024 12:43:24,0.635s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/form.html"")",Chrome 118.0.0.0,,,05-03-2024 12:43:24,05-03-2024 12:43:24,0.064s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_first-name""), ""johnjohn"")",Chrome 118.0.0.0,,,05-03-2024 12:43:24,05-03-2024 12:43:25,0.581s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_last-name""), ""cano"")",Chrome 118.0.0.0,,,05-03-2024 12:43:25,05-03-2024 12:43:25,0.555s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_age""), ""75"")",Chrome 118.0.0.0,,,05-03-2024 12:43:25,05-03-2024 12:43:26,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_sub""))",Chrome 118.0.0.0,,,05-03-2024 12:43:26,05-03-2024 12:43:26,0.313s,PASSED
"verifyTextPresent(""Customer Detail Form"", false)",Chrome 118.0.0.0,,,05-03-2024 12:43:26,05-03-2024 12:43:27,0.263s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC08.png"")",Chrome 118.0.0.0,,,05-03-2024 12:43:27,05-03-2024 12:43:27,0.388s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,05-03-2024 12:43:27,05-03-2024 12:43:27,0.070s,PASSED
,,,,,,,
Test Cases/TC10,Chrome 118.0.0.0,,,05-03-2024 12:43:27,05-03-2024 12:43:30,3.337s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,05-03-2024 12:43:27,05-03-2024 12:43:28,0.551s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/form.html"")",Chrome 118.0.0.0,,,05-03-2024 12:43:28,05-03-2024 12:43:28,0.060s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_first-name""), ""johnjohn"")",Chrome 118.0.0.0,,,05-03-2024 12:43:28,05-03-2024 12:43:28,0.565s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_last-name""), ""canoncan"")",Chrome 118.0.0.0,,,05-03-2024 12:43:28,05-03-2024 12:43:29,0.542s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_age""), ""0"")",Chrome 118.0.0.0,,,05-03-2024 12:43:29,05-03-2024 12:43:29,0.554s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_sub""))",Chrome 118.0.0.0,,,05-03-2024 12:43:29,05-03-2024 12:43:30,0.306s,PASSED
"verifyTextPresent(""Customer Detail Form"", false)",Chrome 118.0.0.0,,,05-03-2024 12:43:30,05-03-2024 12:43:30,0.254s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC10.png"")",Chrome 118.0.0.0,,,05-03-2024 12:43:30,05-03-2024 12:43:30,0.381s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,05-03-2024 12:43:30,05-03-2024 12:43:30,0.074s,PASSED
,,,,,,,
Test Cases/TC11,Chrome 118.0.0.0,,,05-03-2024 12:43:30,05-03-2024 12:43:34,3.394s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,05-03-2024 12:43:30,05-03-2024 12:43:31,0.554s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/form.html"")",Chrome 118.0.0.0,,,05-03-2024 12:43:31,05-03-2024 12:43:31,0.061s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_first-name""), ""johnjohn"")",Chrome 118.0.0.0,,,05-03-2024 12:43:31,05-03-2024 12:43:32,0.612s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_last-name""), ""canoncan"")",Chrome 118.0.0.0,,,05-03-2024 12:43:32,05-03-2024 12:43:32,0.556s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_age""), ""151"")",Chrome 118.0.0.0,,,05-03-2024 12:43:32,05-03-2024 12:43:33,0.546s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_sub""))",Chrome 118.0.0.0,,,05-03-2024 12:43:33,05-03-2024 12:43:33,0.295s,PASSED
"verifyTextPresent(""Customer Detail Form"", false)",Chrome 118.0.0.0,,,05-03-2024 12:43:33,05-03-2024 12:43:33,0.267s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC11.png"")",Chrome 118.0.0.0,,,05-03-2024 12:43:33,05-03-2024 12:43:34,0.369s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,05-03-2024 12:43:34,05-03-2024 12:43:34,0.090s,PASSED
